Race,Age.Group,Year.of.diagnosis,Sex,Count
0,3,33,1,24
0,3,33,2,18
0,3,34,0,50
0,3,34,1,30
0,3,34,2,20
0,3,35,0,56
0,3,35,1,39
0,3,35,2,17
0,3,36,0,41
0,3,36,1,23
0,3,36,2,18
0,3,37,0,47
0,3,37,1,23
0,3,37,2,24
0,3,38,0,49
0,3,38,1,26
0,3,38,2,23
0,3,39,0,60
0,3,39,1,34
0,3,39,2,26
0,3,40,0,52
0,3,40,1,29
0,3,40,2,23
0,3,41,0,57
0,3,41,1,34
0,3,41,2,23
0,3,42,0,60
0,3,42,1,40
0,3,42,2,20
0,3,43,0,46
0,3,43,1,28
0,3,43,2,18
0,3,44,0,54
0,3,44,1,32
0,3,44,2,22
0,3,45,0,58
0,3,45,1,37
0,3,45,2,21
0,4,0,0,1808
0,4,0,1,1090
0,4,0,2,718
0,4,1,0,30
0,4,1,1,19
0,4,1,2,11
0,4,2,0,29
0,4,2,1,19
0,4,2,2,10
0,4,3,0,29
0,4,3,1,20
0,4,3,2,9
0,4,4,0,33
0,4,4,1,23
0,4,4,2,10
0,4,5,0,36
0,4,5,1,25
0,4,5,2,11
0,4,6,0,30
0,4,6,1,20
0,4,6,2,10
0,4,7,0,40
0,4,7,1,26
0,4,7,2,14
0,4,8,0,33
0,4,8,1,15
0,4,8,2,18
0,4,9,0,36
0,4,9,1,20
0,4,9,2,16
0,4,10,0,31
0,4,10,1,20
0,4,10,2,11
0,4,11,0,30
0,4,11,1,16
0,4,11,2,14
0,4,12,0,33
0,4,12,1,25
0,4,12,2,8
0,4,13,0,20
0,4,13,1,15
0,4,13,2,5
0,4,14,0,29
0,4,14,1,18
0,4,14,2,11
0,4,15,0,34
0,4,15,1,18
0,4,15,2,16
0,4,16,0,30
0,4,16,1,20
0,4,16,2,10
0,4,17,0,32
0,4,17,1,18
0,4,17,2,14
0,4,18,0,33
0,4,18,1,20
0,4,18,2,13
0,4,19,0,28
0,4,19,1,14
0,4,19,2,14
0,4,20,0,38
0,4,20,1,21
0,4,20,2,17
0,4,21,0,39
0,4,21,1,21
0,4,21,2,18
0,4,22,0,32
0,4,22,1,23
0,4,22,2,9
0,4,23,0,39
0,4,23,1,23
0,4,23,2,16
0,4,24,0,36
0,4,24,1,22
0,4,24,2,14
0,4,25,0,36
0,4,25,1,23
0,4,25,2,13
0,4,26,0,48
0,4,26,1,22
0,4,26,2,26
0,4,27,0,41
0,4,27,1,18
0,4,27,2,23
0,4,28,0,59
0,4,28,1,39
0,4,28,2,20
0,4,29,0,48
0,4,29,1,30
0,4,29,2,18
0,4,30,0,43
0,4,30,1,33
0,4,30,2,10
0,4,31,0,45
0,4,31,1,26
0,4,31,2,19
0,4,32,0,42
0,4,32,1,28
0,4,32,2,14
0,4,33,0,65
0,4,33,1,31
0,4,33,2,34
0,4,34,0,48
0,4,34,1,32
0,4,34,2,16
0,4,35,0,39
0,4,35,1,21
0,4,35,2,18
0,4,36,0,41
0,4,36,1,17
0,4,36,2,24
0,4,37,0,55
0,4,37,1,34
0,4,37,2,21
0,4,38,0,45
0,4,38,1,28
0,4,38,2,17
0,4,39,0,46
0,4,39,1,27
0,4,39,2,19
0,4,40,0,48
0,4,40,1,25
0,4,40,2,23
0,4,41,0,50
0,4,41,1,21
0,4,41,2,29
0,4,42,0,70
0,4,42,1,49
0,4,42,2,21
0,4,43,0,57
0,4,43,1,37
0,4,43,2,20
0,4,44,0,47
0,4,44,1,31
0,4,44,2,16
0,4,45,0,55
0,4,45,1,37
0,4,45,2,18
0,5,0,0,1630
0,5,0,1,949
0,5,0,2,681
0,5,1,0,30
0,5,1,1,13
0,5,1,2,17
0,5,2,0,31
0,5,2,1,18
0,5,2,2,13
0,5,3,0,26
0,5,3,1,11
0,5,3,2,15
0,5,4,0,38
0,5,4,1,23
0,5,4,2,15
0,5,5,0,34
0,5,5,1,21
0,5,5,2,13
0,5,6,0,31
0,5,6,1,19
0,5,6,2,12
0,5,7,0,24
0,5,7,1,13
0,5,7,2,11
0,5,8,0,28
0,5,8,1,17
0,5,8,2,11
0,5,9,0,28
0,5,9,1,20
0,5,9,2,8
0,5,10,0,34
0,5,10,1,22
0,5,10,2,12
0,5,11,0,32
0,5,11,1,17
0,5,11,2,15
0,5,12,0,25
0,5,12,1,17
0,5,12,2,8
0,5,13,0,16
0,5,13,1,10
0,5,13,2,6
0,5,14,0,38
0,5,14,1,28
0,5,14,2,10
0,5,15,0,29
0,5,15,1,22
0,5,15,2,7
0,5,16,0,28
0,5,16,1,15
0,5,16,2,13
0,5,17,0,30
0,5,17,1,20
0,5,17,2,10
0,5,18,0,37
0,5,18,1,17
0,5,18,2,20
0,5,19,0,31
0,5,19,1,21
0,5,19,2,10
0,5,20,0,32
0,5,20,1,15
0,5,20,2,17
0,5,21,0,45
0,5,21,1,25
0,5,21,2,20
0,5,22,0,27
0,5,22,1,20
0,5,22,2,7
0,5,23,0,41
0,5,23,1,25
0,5,23,2,16
0,5,24,0,37
0,5,24,1,17
0,5,24,2,20
0,5,25,0,32
0,5,25,1,19
0,5,25,2,13
0,5,26,0,42
0,5,26,1,23
0,5,26,2,19
0,5,27,0,39
0,5,27,1,24
0,5,27,2,15
0,5,28,0,36
0,5,28,1,22
0,5,28,2,14
0,5,29,0,43
0,5,29,1,24
0,5,29,2,19
0,5,30,0,37
0,5,30,1,23
0,5,30,2,14
0,5,31,0,42
0,5,31,1,27
0,5,31,2,15
0,5,32,0,45
0,5,32,1,21
0,5,32,2,24
0,5,33,0,51
0,5,33,1,28
0,5,33,2,23
0,5,34,0,44
0,5,34,1,27
0,5,34,2,17
0,5,35,0,29
0,5,35,1,11
0,5,35,2,18
0,5,36,0,47
0,5,36,1,23
0,5,36,2,24
0,5,37,0,41
0,5,37,1,25
0,5,37,2,16
0,5,38,0,43
0,5,38,1,21
0,5,38,2,22
0,5,39,0,42
0,5,39,1,24
0,5,39,2,18
0,5,40,0,45
0,5,40,1,27
0,5,40,2,18
0,5,41,0,50
0,5,41,1,34
0,5,41,2,16
0,5,42,0,48
0,5,42,1,26
0,5,42,2,22
0,5,43,0,46
0,5,43,1,30
0,5,43,2,16
0,5,44,0,36
0,5,44,1,19
0,5,44,2,17
0,5,45,0,40
0,5,45,1,25
0,5,45,2,15
0,6,0,0,1920
0,6,0,1,1105
0,6,0,2,815
0,6,1,0,35
0,6,1,1,25
0,6,1,2,10
0,6,2,0,33
0,6,2,1,21
0,6,2,2,12
0,6,3,0,32
0,6,3,1,18
0,6,3,2,14
0,6,4,0,35
0,6,4,1,18
0,6,4,2,17
0,6,5,0,36
0,6,5,1,25
0,6,5,2,11
0,6,6,0,38
0,6,6,1,27
0,6,6,2,11
0,6,7,0,39
0,6,7,1,23
0,6,7,2,16
0,6,8,0,39
0,6,8,1,25
0,6,8,2,14
0,6,9,0,29
0,6,9,1,15
0,6,9,2,14
0,6,10,0,35
0,6,10,1,22
0,6,10,2,13
0,6,11,0,42
0,6,11,1,26
0,6,11,2,16
0,6,12,0,42
0,6,12,1,19
0,6,12,2,23
0,6,13,0,36
0,6,13,1,22
0,6,13,2,14
0,6,14,0,35
0,6,14,1,20
0,6,14,2,15
0,6,15,0,39
0,6,15,1,19
0,6,15,2,20
0,6,16,0,28
0,6,16,1,19
0,6,16,2,9
0,6,17,0,31
0,6,17,1,16
0,6,17,2,15
0,6,18,0,51
0,6,18,1,26
0,6,18,2,25
0,6,19,0,32
0,6,19,1,20
0,6,19,2,12
0,6,20,0,40
0,6,20,1,21
0,6,20,2,19
0,6,21,0,42
0,6,21,1,24
0,6,21,2,18
0,6,22,0,33
0,6,22,1,24
0,6,22,2,9
0,6,23,0,36
0,6,23,1,27
0,6,23,2,9
0,6,24,0,33
0,6,24,1,16
0,6,24,2,17
0,6,25,0,57
0,6,25,1,34
0,6,25,2,23
0,6,26,0,33
0,6,26,1,18
0,6,26,2,15
0,6,27,0,45
0,6,27,1,20
0,6,27,2,25
0,6,28,0,36
0,6,28,1,24
0,6,28,2,12
0,6,29,0,45
0,6,29,1,29
0,6,29,2,16
